date,close,code,name,return
2019-01-02,1382.05,000538.SZ,云南白药,
2019-01-03,1347.06,000538.SZ,云南白药,-0.02564346427504811
2019-01-04,1364.38,000538.SZ,云南白药,0.01277567313094524
2019-01-07,1390.53,000538.SZ,云南白药,0.018984856435190083
2019-01-08,1422.82,000538.SZ,云南白药,0.022955848350619278
2019-01-09,1424.98,000538.SZ,云南白药,0.001516960751605236
2019-01-10,1412.9,000538.SZ,云南白药,-0.00851344874477663
2019-01-11,1414.34,000538.SZ,云南白药,0.0010186613973488792
2019-01-14,1384.76,000538.SZ,云南白药,-0.021136151761842907
2019-01-15,1439.77,000538.SZ,云南白药,0.03895653918360342
2019-01-16,1473.5,000538.SZ,云南白药,0.023157144586877777
2019-01-17,1452.76,000538.SZ,云南白药,-0.014175327749409262
2019-01-18,1500.2,000538.SZ,云南白药,0.032133237107195685
2019-01-21,1500.92,000538.SZ,云南白药,0.00047982087608199015
2019-01-22,1479.64,000538.SZ,云南白药,-0.014279438485136344
2019-01-23,1505.79,000538.SZ,云南白药,0.017518862479309727
2019-01-24,1520.76,000538.SZ,云南白药,0.009892532476181761
2019-01-25,1495.69,000538.SZ,云南白药,-0.016622571071762904
2019-01-28,1491.54,000538.SZ,云南白药,-0.002778495576066214
2019-01-29,1509.22,000538.SZ,云南白药,0.011783817822272056
2019-01-30,1486.13,000538.SZ,云南白药,-0.015417535428829217
2019-01-31,1486.67,000538.SZ,云南白药,0.0003632938683658844
2019-02-01,1544.93,000538.SZ,云南白药,0.03843988236611414
2019-02-11,1587.14,000538.SZ,云南白药,0.02695505253465712
2019-02-12,1620.51,000538.SZ,云南白药,0.020807260100734422
2019-02-13,1627.73,000538.SZ,云南白药,0.004445491644934572
2019-02-14,1612.39,000538.SZ,云南白药,-0.009468855853618117
2019-02-15,1578.12,000538.SZ,云南白药,-0.021483285146901242
2019-02-18,1622.14,000538.SZ,云南白药,0.027512000002303333
2019-02-19,1593.27,000538.SZ,云南白药,-0.017957757070770623
2019-02-20,1595.8,000538.SZ,云南白药,0.0015866698007741544
2019-02-21,1579.39,000538.SZ,云南白药,-0.010336481349042078
2019-02-22,1583.9,000538.SZ,云南白药,0.002851463543236363
2019-02-25,1618.53,000538.SZ,云南白药,0.021628169807326948
2019-02-26,1645.4,000538.SZ,云南白药,0.016465185859128255
