date,close,code,name,return
2019-01-02,268.25,000063.SZ,中兴通讯,
2019-01-03,258.08,000063.SZ,中兴通讯,-0.0386497671339092
2019-01-04,263.55,000063.SZ,中兴通讯,0.020973488924317357
2019-01-07,274.25,000063.SZ,中兴通讯,0.039796995854123766
2019-01-08,272.68,000063.SZ,中兴通讯,-0.005741152660755103
2019-01-09,272.95,000063.SZ,中兴通讯,0.000989681733182064
2019-01-10,274.9,000063.SZ,中兴通讯,0.0071187669434333595
2019-01-11,280.64,000063.SZ,中兴通讯,0.020665314012618282
2019-01-14,275.16,000063.SZ,中兴通讯,-0.01971996252600467
2019-01-15,281.81,000063.SZ,中兴通讯,0.023880338337544927
2019-01-16,278.03,000063.SZ,中兴通讯,-0.013504063457917772
2019-01-17,274.12,000063.SZ,中兴通讯,-0.014163054819817696
2019-01-18,273.73,000063.SZ,中兴通讯,-0.0014237476166079933
2019-01-21,287.55,000063.SZ,中兴通讯,0.049254539058748346
2019-01-22,279.73,000063.SZ,中兴通讯,-0.027571905927364325
2019-01-23,279.86,000063.SZ,中兴通讯,0.0004646258951684138
2019-01-24,278.81,000063.SZ,中兴通讯,-0.0037589318787011584
2019-01-25,278.16,000063.SZ,中兴通讯,-0.0023340585492601655
2019-01-28,277.12,000063.SZ,中兴通讯,-0.003745862325535688
2019-01-29,273.73,000063.SZ,中兴通讯,-0.012308406273055376
2019-01-30,270.21,000063.SZ,中兴通讯,-0.012942784637253853
2019-01-31,275.42,000063.SZ,中兴通讯,0.019097770835218866
2019-02-01,279.34,000063.SZ,中兴通讯,0.014132472578645224
2019-02-11,285.34,000063.SZ,中兴通讯,0.021251773809043008
2019-02-12,287.81,000063.SZ,中兴通讯,0.008619088514591828
2019-02-13,312.47,000063.SZ,中兴通讯,0.08220792436690139
2019-02-14,311.16,000063.SZ,中兴通讯,-0.004201215229587983
2019-02-15,313.12,000063.SZ,中兴通讯,0.00627925430919269
2019-02-18,327.99,000063.SZ,中兴通讯,0.04639661646673711
2019-02-19,326.94,000063.SZ,中兴通讯,-0.003206452291441118
2019-02-20,326.16,000063.SZ,中兴通讯,-0.0023886093120639817
2019-02-21,343.25,000063.SZ,中兴通讯,0.05107098613708244
2019-02-22,376.24,000063.SZ,中兴通讯,0.09176819298871206
2019-02-25,408.46,000063.SZ,中兴通讯,0.08216675265221912
2019-02-26,403.11,000063.SZ,中兴通讯,-0.013184512733583622
2019-02-27,397.24,000063.SZ,中兴通讯,-0.014668845520270325
2019-02-28,401.81,000063.SZ,中兴通讯,0.011438708039957028
2019-03-01,400.9,000063.SZ,中兴通讯,-0.002267320426653658
2019-03-04,408.46,000063.SZ,中兴通讯,0.0186819706405505
2019-03-05,425.94,000063.SZ,中兴通讯,0.04190450099033763
2019-03-06,421.37,000063.SZ,中兴通讯,-0.010787183710683958
2019-03-07,409.63,000063.SZ,中兴通讯,-0.028256994337945623
2019-03-08,394.11,000063.SZ,中兴通讯,-0.03862425508119357
2019-03-11,409.63,000063.SZ,中兴通讯,0.038624255081193506
2019-03-12,418.63,000063.SZ,中兴通讯,0.021733161676161322
2019-03-13,387.2,000063.SZ,中兴通讯,-0.07804611950445926
2019-03-14,381.59,000063.SZ,中兴通讯,-0.014594621622393101
2019-03-15,383.29,000063.SZ,中兴通讯,0.004445149041000879
2019-03-18,393.85,000063.SZ,中兴通讯,0.02717824332830378
2019-03-19,391.77,000063.SZ,中兴通讯,-0.005295193248907926
2019-03-20,391.11,000063.SZ,中兴通讯,-0.0016860825576283593
2019-03-21,390.07,000063.SZ,中兴通讯,-0.0026626401455145205
2019-03-22,381.2,000063.SZ,中兴通讯,-0.023002038417235603
2019-03-25,382.64,000063.SZ,中兴通讯,0.0037704275919944624
2019-03-26,366.98,000063.SZ,中兴通讯,-0.041787248715233864
2019-03-27,360.98,000063.SZ,中兴通讯,-0.016484795520705232
2019-03-28,395.81,000063.SZ,中兴通讯,0.09211174299869876
2019-03-29,393.98,000063.SZ,中兴通讯,-0.00463415154659165
2019-04-01,404.42,000063.SZ,中兴通讯,0.026153795319374167
2019-04-02,403.11,000063.SZ,中兴通讯,-0.003244464352155455
2019-04-03,402.46,000063.SZ,中兴通讯,-0.0016137645172059547
2019-04-04,404.16,000063.SZ,中兴通讯,0.004215126123904087
2019-04-08,394.5,000063.SZ,中兴通讯,-0.024191698876197393
2019-04-09,407.03,000063.SZ,中兴通讯,0.03126775251392208
2019-04-10,423.98,000063.SZ,中兴通讯,0.040799391508255595
2019-04-11,409.5,000063.SZ,中兴通讯,-0.034749381014982414
2019-04-12,407.81,000063.SZ,中兴通讯,-0.00413552362900056
2019-04-15,410.94,000063.SZ,中兴通讯,0.007645838773745252
2019-04-16,450.72,000063.SZ,中兴通讯,0.09239908569019359
2019-04-17,457.63,000063.SZ,中兴通讯,0.015214693229158763
2019-04-18,457.76,000063.SZ,中兴通讯,0.0002840319445788457
2019-04-19,489.06,000063.SZ,中兴通讯,0.06614015203262102
2019-04-22,492.59,000063.SZ,中兴通讯,0.007192003699349726
2019-04-23,476.54,000063.SZ,中兴通讯,-0.03312552002726791
2019-04-24,469.89,000063.SZ,中兴通讯,-0.014053040247822566
2019-04-25,452.02,000063.SZ,中兴通讯,-0.03877219811774307
2019-04-26,458.81,000063.SZ,中兴通讯,0.014909754366287064
2019-04-29,454.63,000063.SZ,中兴通讯,-0.009152279685212929
2019-04-30,432.46,000063.SZ,中兴通讯,-0.049994064776262635
2019-05-06,390.59,000063.SZ,中兴通讯,-0.10183142006940281
2019-05-07,391.5,000063.SZ,中兴通讯,0.002327098954511642
2019-05-08,389.94,000063.SZ,中兴通讯,-0.003992634296545253
2019-05-09,382.24,000063.SZ,中兴通讯,-0.01994419755681303
2019-05-10,415.89,000063.SZ,中兴通讯,0.08437211864089492
2019-05-13,407.16,000063.SZ,中兴通讯,-0.02121457363425517
2019-05-14,403.76,000063.SZ,中兴通讯,-0.008385586552132212
2019-05-15,411.07,000063.SZ,中兴通讯,0.01794287426375624
2019-05-16,399.46,000063.SZ,中兴通讯,-0.02864988125873739
