,ICBC,YILI,ZTE,YUNNAN,SINOPEC
2019-04-04,0.5353833795414111,0.7531924183059038,1.141945985900934,0.8042788432642098,0.44954216536636454
2019-04-08,0.5349688298160324,0.7564863852141639,1.134432947168853,0.7883252017896893,0.44632494018656665
2019-04-09,0.5383981114871533,0.7665364939600898,1.1429168733391155,0.7931108018077947,0.4514959666200602
2019-04-10,0.5394976088574959,0.7642788285478859,1.1339440389111564,0.7867554989682173,0.45209971501791785
2019-04-11,0.5183042666604587,0.7962635385853769,1.153011991526562,0.8297560341260952,0.4512769051863056
2019-04-12,0.5158241244999389,0.8007210493606968,1.1591046363972715,0.8350939506322498,0.4470879498932955
2019-04-15,0.5072048087739404,0.8051732759526831,1.157177500763555,0.8352450038791842,0.44421465326605813
2019-04-16,0.5216298154542897,0.8084774872903732,1.2462534986959148,0.8181157879896476,0.4408824748572887
2019-04-17,0.5211987586538778,0.8041706595811506,1.232389291675831,0.8023009552598473,0.43874978090191374
2019-04-18,0.5301693128072736,0.7825456692972367,1.2334751220933784,0.7828232236244104,0.44236998755373413
2019-04-19,0.530297078468717,0.7807750555907566,1.252969457757011,0.7850764871495144,0.4435612924729221
2019-04-22,0.5419564570985544,0.7611426932678294,1.1859260223682015,0.708094629437128,0.41002103482712826
2019-04-23,0.5325403885998712,0.7666792412481513,1.2248814023916779,0.6934719878236609,0.41353875087183756
2019-04-24,0.5319852616555865,0.7654930735630601,1.2226816425220755,0.6928765122431494,0.41327214209150964
2019-04-25,0.5292099098493279,0.7486140912477015,1.2316684056731513,0.7072284401634303,0.40799229610056353
2019-04-26,0.525029913306184,0.7516204302128136,1.2004164039393364,0.7390209916549483,0.41012923552345387
2019-04-29,0.5243978337697274,0.7511723672300967,1.2030443444058332,0.7374687624787759,0.4096034423896483
2019-04-30,0.5231445186077335,0.7522366765071908,1.2083593567448059,0.7437118916857264,0.40892910337850796
2019-05-06,0.4575075472962977,0.7046426701225748,1.3098395180747116,0.8289563215597768,0.4179689154877885
2019-05-07,0.45330444079849797,0.7075314041052819,1.3058028220478728,0.8349382873721838,0.41703568765643406
2019-05-08,0.45736903473404544,0.7088634948439345,1.2926667388096695,0.8209699301989267,0.4212190481042086
2019-05-09,0.45332458572823725,0.7295126730676403,1.2899766390094956,0.8620718531157603,0.4118705807764771
2019-05-10,0.4526690836195768,0.736858326332767,1.3498463338270925,0.8120550414782284,0.40702156966676784
2019-05-13,0.4601916885056585,0.7152877841299774,1.3563907519623832,0.7968658063162801,0.41468202576932695
2019-05-14,0.4599858489877615,0.7210111733187762,1.3586852633968611,0.7914071448174547,0.41420185200874815
2019-05-15,0.45774627283416747,0.736595828897289,1.2994521390149885,0.7994415941105439,0.40043716668387264
2019-05-29,0.4578290927265193,0.7389381850190208,1.3001531142303446,0.8009520278931346,0.400662432879471
2019-05-30,0.4466824606297271,0.7289582371573713,1.3355298806450873,0.7961654738314183,0.39529182974021215
