组合类型,ICBC,YILI,ZTE,YUNNAN,SINOPEC,年化收益,年化波动,夏普比率
等权重组合,0.2,0.2,0.2,0.2,0.2,0.05980416153123291,0.14840169365462202,0.23452671377345108
最小方差组合,0.6132013489880707,0.03887310636253148,0.013805641150165308,0.053730196893877376,0.2803897066053553,0.05876195883482178,0.0936474432265894,0.3605219498959659
最大夏普组合,0.918347603918525,0.0,0.08165239608147516,0.0,3.3068166260807885e-18,0.0663049446225282,0.10283430086310742,0.4016650502395418
