date,IC-YI,IC-ZT,IC-YU,IC-SI,YI-ZT,YI-YU,YI-SI,ZT-YU,ZT-SI,YU-SI
2019-04-04,0.5976433408845383,0.33968141508207916,0.46003550844200464,0.7569660413194595,0.376142779524562,0.6430932605463727,0.517895721112928,0.29932749244849033,0.4332500802745358,0.5186560317529623
2019-04-08,0.592544710663098,0.3397432699352756,0.46542498332582927,0.7505485581917323,0.3790384666653112,0.6284889632965915,0.492753205781093,0.26528998500331147,0.4215280631127706,0.5350599257981004
2019-04-09,0.4727568209926195,0.3232230204930508,0.3908833391275819,0.7518431033513936,0.37832557692978275,0.6895057964465746,0.3627525579088308,0.2795600548334648,0.3992201191049016,0.43841237842567504
2019-04-10,0.4703388862931033,0.3232836116023452,0.3809680236468581,0.768917957347119,0.38185946566305096,0.6885355747605232,0.3500490137234943,0.2882794867539405,0.3649559111070714,0.39766209705632916
2019-04-11,0.4623427091562993,0.3237297772201522,0.3960097963843267,0.7811401270997529,0.4053218869954032,0.7259347078437555,0.3790105274789725,0.3258236933644196,0.3852990441004486,0.408044243223649
2019-04-12,0.46155292607835535,0.32732895011218194,0.3984342708305534,0.7808395644225069,0.4079668798545895,0.7282666988166548,0.38155972430214713,0.32773666917109373,0.39585779771131546,0.4168332229293902
2019-04-15,0.46076724165140015,0.32670584827568205,0.38060310196653996,0.768969348096928,0.40807645064599224,0.7348320995347297,0.39051662411873733,0.32751856356034115,0.3982500416278641,0.4130207414174427
2019-04-16,0.4785512450628512,0.3845027222924841,0.37963097642407545,0.7699460432509528,0.42678252632123115,0.7366427294127256,0.3976618825849576,0.32625696841634283,0.4117129707772055,0.4177781432916038
2019-04-17,0.4732720832308013,0.37829785654801323,0.37080015191310356,0.7674974531214961,0.4179345096812004,0.7286972582986511,0.39032255882812067,0.31596964101408775,0.4021174963219508,0.40318166632802255
2019-04-18,0.4763233101267581,0.3780941771225628,0.3829293323634744,0.7680767467388718,0.41531439606369386,0.7130848893997542,0.3887202861849056,0.3122303736540674,0.4011939167484449,0.40672128215254283
2019-04-19,0.47739222057763897,0.3780014353177248,0.3858813962646502,0.7717430386108141,0.4099176618418174,0.7268554980807223,0.39612154426540874,0.3144766882905533,0.4048399658060113,0.39893611127855916
2019-04-22,0.4770796035305865,0.37029900020433204,0.3471077122468972,0.7277766189134383,0.41046878742507487,0.7176084326309812,0.3890670607324783,0.3045028962974772,0.39891149914970286,0.40031102449441514
2019-04-23,0.4755355584222727,0.39110009416646246,0.3195992710005783,0.7356895790263234,0.42637466012451636,0.7223400453461479,0.39377277696083446,0.3285048971422062,0.40979869941207,0.4035462657727754
2019-04-24,0.47245798318708576,0.3838721925269354,0.3201766239213621,0.7301876512348281,0.4187571688848373,0.7244544383726284,0.3838338156862485,0.3265448736354127,0.4031435532732122,0.3974279726686326
2019-04-25,0.4715877751746795,0.3910830331911188,0.3317105368525697,0.7336821979646456,0.4167476047324954,0.7203678161825557,0.37909664736050097,0.34008513033888266,0.40629779804527427,0.40571667561104663
2019-04-26,0.47853315360852,0.39261110617840816,0.3268705456536031,0.7347541514936619,0.4100430975101754,0.7332235298225679,0.38824435393091694,0.32860856288405993,0.3994293316859962,0.42443741263053536
2019-04-29,0.48830819700903283,0.3802558126466908,0.33401054874012026,0.7268192360810121,0.3974458962039942,0.7375272613467315,0.3860667174048556,0.324373235876277,0.4037854010732559,0.41983166786060777
2019-04-30,0.49018209991043477,0.37525694923308694,0.34754540250381283,0.7254142637639281,0.3833435131850342,0.7426613289687843,0.38738795426684797,0.3027220993892561,0.39084572641721055,0.43193950357797506
2019-05-06,0.5057275956256108,0.4017687280313152,0.3769898440833347,0.7345394160991892,0.42760030529069487,0.7481017503327508,0.44910428538627,0.4142816784697635,0.48614304347924114,0.5347892339687988
2019-05-07,0.4941120610999908,0.40572256959713465,0.3561845047192241,0.7288426110367163,0.4257831528236852,0.7516549956634984,0.4511575365289184,0.41434496431704065,0.4956153901560207,0.529055883316746
2019-05-08,0.5020216522724478,0.4083308333280679,0.3585162091911109,0.7320933144266452,0.4240610809122068,0.7475291390114135,0.46088989184764484,0.4111066160195846,0.4991859435141095,0.53317382463553
2019-05-09,0.5213801885329389,0.4132034881918874,0.3824750890488611,0.723052327323606,0.43187116176952056,0.7599488658928889,0.46603800219770236,0.41709287343680956,0.5004066373454611,0.5279575287821724
2019-05-10,0.5367990952061286,0.4344172020485364,0.39656395968775576,0.7295888007381169,0.45771849493954625,0.7591096191347634,0.4780908668050917,0.4173519459780718,0.5135239282135918,0.5340990393854232
2019-05-13,0.540196806608526,0.44163161155653935,0.4077039185670476,0.7330194964013467,0.45341989212483086,0.7516131755285991,0.491291673414468,0.4181832743900586,0.5225871038183358,0.5549242707710623
2019-05-14,0.5413866211665324,0.44222278884352506,0.4094324596425987,0.7330093045301614,0.45594230475022973,0.761896639612877,0.48984744635170646,0.42090772092682355,0.5223096977515785,0.5600006295165689
2019-05-15,0.5431560130946036,0.43689567604306523,0.4127752887505013,0.7412035654901319,0.4581801202735365,0.7637049707804574,0.4990492390166653,0.42861378638785136,0.48785197922190854,0.576547367166911
