,ICBC,YILI,ZTE,YUNNAN,SINOPEC
ICBC,1.0,0.22411099458439074,0.06620930601771198,0.1620797196926163,0.4697205327153028
YILI,0.22411099458439074,1.0,0.28315583706171776,0.4642280099729503,0.15181883285601905
ZTE,0.06620930601771198,0.28315583706171776,1.0,0.27125441963354,0.14554100773868953
YUNNAN,0.1620797196926163,0.4642280099729503,0.27125441963354,1.0,0.16954105482260076
SINOPEC,0.4697205327153028,0.15181883285601905,0.14554100773868953,0.16954105482260076,1.0
