Stock,Alpha,Alpha_pval,Beta,Beta_pval,R-squared,Adj_R2,Std_Error,F_stat,F_pval,N_obs,Alpha_sig,Beta_sig
ICBC,0.0001271875607425395,0.3888914025473833,0.18069590099878358,6.6946104857087826e-46,0.10995015591754509,0.10943774955940899,0.006151785775471378,214.5760960451143,6.694610485718433e-46,1739,,***
YILI,-1.4632521512056135e-05,0.9588740011988997,0.7852852066427357,8.239935104913524e-187,0.38696951517470624,0.386616590312976,0.011826976627911155,1096.4643104983986,8.23993510493383e-187,1739,,***
ZTE,5.9692336886000145e-05,0.907385398345291,1.2047218348056972,1.7764691939252674e-143,0.3124195135433384,0.31202366985510777,0.021385683761956875,789.2497034366954,1.7764691939275704e-143,1739,,***
YUNNAN,-3.603391508541855e-05,0.9083988310406984,0.7111871535657225,8.850094283458844e-136,0.2982622380672698,0.2978582439613787,0.013053165786340599,738.2836376026632,8.850094283467636e-136,1739,,***
SINOPEC,5.822677644524537e-05,0.7455179832937666,0.22307351579547205,3.256910688784254e-47,0.11302893083275589,0.11251829694146787,0.007477416858074177,221.3502330361549,3.2569106887879267e-47,1739,,***
