Stock,LB_Stat,LB_pval,LB_Conclusion,White_Stat,White_pval,White_Conclusion
ICBC,14.078002447577902,0.1694633173848986,Not Reject H0,121.42222296291395,4.300305339576246e-27,Reject H0
YILI,17.973517918089783,0.05541200298417132,Not Reject H0,18.522875283095743,9.501862418284815e-05,Reject H0
ZTE,6.976017726138846,0.7277070714591953,Not Reject H0,1.3747298741328222,0.5028994964654951,Not Reject H0
YUNNAN,14.805919847127122,0.13929950819481837,Not Reject H0,4.745016747271296,0.0932465355305625,Not Reject H0
SINOPEC,34.007673648040864,0.0001841461793505926,Reject H0,21.081710024059085,2.643411857259299e-05,Reject H0
